번호,수어 표제어 번호,수형설명,한국어 대응표현,결합정보,대/중 분류
3114,14528,"오른 주먹의 1·2지를 펴서 끝이 콧구멍으로 향하게 두 번 밀어 올린 다음, 오른 주먹의 1·5지를 펴서 좌우로 흔들며 오른쪽으로 이동시키고, 오른손을 펴서 손바닥이 왼쪽으로 손끝이 밖으로 향하게 하여 곧바로 내민 다음, 손끝이 위로 손바닥이 옆으로 향하게 펴서 세운 두 손을 양쪽 귀 옆에서 밖으로 두 번 내밀고, 왼 주먹의 1지를 펴서 바닥이 위로 향하게 하고, 그 바닥에 오른 주먹의 1지를 펴서 바닥을 댄다.",생물학적,,전문용어 수어 > 의학
3115,14534,"두 주먹을 양쪽 가슴 앞에 모로 세워 약간 내린 다음, 오른 손바닥으로 가슴과 배에 크게 원을 그리고, 오른 주먹의 1·2지를 약간 구부려 끝이 두 눈으로 향하게 하여 왼쪽으로 두 바퀴 돌린다.",생체검사,,전문용어 수어 > 의학
3116,14535,"두 주먹을 양쪽 가슴 앞에 모로 세워 약간 내린 다음, 오른 손바닥으로 가슴과 배에 크게 원을 그리고, 손바닥이 위로 향하게 구부린 왼손에 손바닥이 아래로 향하게 구부린 오른손을 넣어 두 손을 맞잡는 동작을 오른쪽으로 이동시키며 두 번 반복한 다음, 손등이 위로 향하게 쥔 두 주먹을 양쪽 가슴 앞에서 마주 보게 하여 상하로 엇갈리게 흔든다.",생체리듬,생체+주기+움직이다,전문용어 수어 > 의학
3117,14538,"두 손의 손끝이 아래로 향하게 하여 4지 옆면을 배 양옆에 댔다가 아래로 힘주어 내린 다음, 손바닥이 안으로 향하게 모로 세운 왼 손바닥에 오른손을 펴서 세워 등을 댔다가 오른손만 안으로 당기고, 왼 주먹 등에 오른 주먹의 바닥을 대며 1지를, 끝이 밖으로 향하게 편다.",선천성,,전문용어 수어 > 의학
3118,14540,"오른손의 손가락을 구부려 끝을 배에 대고 상하로 흔든 다음, 1·2·5지 끝이 위로 향하게 편 오른 주먹을 아래로 내리면서 1·2·5지 끝을 맞댄다.",설사,,전문용어 수어 > 의학
3119,14541,약간 오므린 오른손을 오른쪽 관자놀이 옆에서 전후로 2‧3회 돌린다.,섬망,,전문용어 수어 > 의학
3120,14546,"오른 주먹의 1·5지를 펴서 구부려 입으로 약간 기울여 올린 다음, 오른손의 손끝을 모아 왼손의 1지에 대고 손끝을 약간 벌린다.",성기 헤르페스,물+성기/헤르페스,전문용어 수어 > 의학
3121,14547,"오른손의 1·5지 끝을 맞대어 목에서 입으로 올려 내민 다음, 오른 주먹의 1·5지를 펴서 약간 구부려 목 위쪽에 댔다가 목 아래쪽으로 내렸다가 다시 올린다.",성대,,전문용어 수어 > 의학
3122,16250,"오른손을 펴서, 손바닥이 위로 향하게 하여 두 번 입으로 올린 다음, 두 손을, 손바닥이 위로 향하게 하여 약간 구부려 가슴 앞에서 4지 옆면이 닿게 맞댔다가 좌우로 벌리면서 위로 올리다가 좁히면서 위로 올린다.","바루,바리,발우",먹다+그릇,전문용어 수어 > 불교
3123,16251,"오른손을 펴서, 손바닥이 위로 향하게 하여 두 번 입으로 올린 다음, 두 손을, 손바닥이 위로 향하게 하여 약간 구부려 가슴 앞에서 4지 옆면이 닿게 맞댔다가 좌우로 벌리면서 위로 올리다가 좁히면서 위로 올린다.","바리,바루,발우",먹다+그릇,전문용어 수어 > 불교
3124,16252,"두 주먹의 1지를 펴서 ‘X’자로 맞대고 오른손을 전후로 움직인 다음, 두 주먹의 1지를 구부려 손등이 밖으로 향하게 모로 세워 오른 주먹의 1지 위에 왼 주먹의 1지를 ‘X’자 모양이 되게 얹는다.",반가,,전문용어 수어 > 불교
3125,16253,"두 주먹의 1지를 펴서 ‘X’자로 맞대고 오른손을 전후로 움직인 다음, 두 주먹의 1지를 구부려 손등이 밖으로 향하게 모로 세워 오른 주먹의 1지 위에 왼 주먹의 1지를 ‘X’자 모양이 되게 얹는다.",반가부좌,,전문용어 수어 > 불교
3126,16254,두 손을 펴서 손끝이 위로 향하게 하여 맞대며 고개를 숙인다.,반배,,전문용어 수어 > 불교
3127,16256,"오른 주먹의 1지를 펴서 끝을 오른쪽 관자놀이에 댔다가 떼면서 손을 펴서 손바닥을 주먹을 쥔 왼 팔목 등에 대고, 오른손을 구부려 손끝으로, 손등이 위로 향하게 편 왼 손등을 두 번 두드린 다음, 1·2지를 펴서 구부려 세운 두 주먹의 4지 옆면을 두 번 맞부딪친다.",반야바라밀,지혜+바라밀,전문용어 수어 > 불교
3128,16258,"두 손을 손바닥이 위로 향하게 약간 구부려 밖으로 내밀면서 손바닥이 위로 향하게 양옆으로 벌린 다음, 오른 주먹의 1지를 펴서 끝을, 손등이 밖으로 손끝이 오른쪽으로 향하게 편 왼 손등에 댔다가 왼 손바닥에 대고, 왼손을 손끝이 오른쪽으로 향하게 모로 세워 ‘ㄷ’자 모양이 되게 하고, 그 사이로 손끝이 위로 손바닥이 안으로 향한 오른손을 올린다.",발보리심,,전문용어 수어 > 불교
3129,16259,"오른 주먹의 1‧5지를 펴서 밖으로 내민 혀를 뽑는 동작을 한 다음, 두 주먹의 1지를 펴서 바닥이 밖으로 향하게 세워 턱 양옆에 댔다가 머리 양쪽에 올려 댄다.",발설지옥,,전문용어 수어 > 불교
3130,16260,"두 손을 손바닥이 위로 향하게 약간 구부려 밖으로 내밀면서 손바닥이 위로 향하게 양옆으로 벌린 다음, 오른 주먹의 1지를 펴서 끝을, 손등이 밖으로 손끝이 오른쪽으로 향하게 편 왼 손등에 댔다가 왼 손바닥에 대고, 왼손을 손끝이 오른쪽으로 향하게 모로 세워 ‘ㄷ’자 모양이 되게 하고, 그 사이로 손끝이 위로 손바닥이 안으로 향한 오른손을 올린다.","발심,발보리심,발심보리",베풀다+마음+나오다²,전문용어 수어 > 불교
3131,16261,"두 손을 손바닥이 위로 향하게 약간 구부려 밖으로 내밀면서 손바닥이 위로 향하게 양옆으로 벌린 다음, 오른 주먹의 1지를 펴서 끝을, 손등이 밖으로 손끝이 오른쪽으로 향하게 편 왼 손등에 댔다가 왼 손바닥에 대고, 왼손을 손끝이 오른쪽으로 향하게 모로 세워 ‘ㄷ’자 모양이 되게 하고, 그 사이로 손끝이 위로 손바닥이 안으로 향한 오른손을 올린다.",발심보리,,전문용어 수어 > 불교
3132,16266,"오른 주먹의 1·2지를 펴서 끝이 콧구멍으로 향하게 하여 두 번 밀어 올린 다음, 두 주먹을 양쪽 가슴 앞에 모로 세워 약간 내리고, 오른손을 펴서 손바닥이 위로 손끝이 밖으로 향하게 하여 밖으로 내민다.",방생,,전문용어 수어 > 불교
3133,16267,"오른 주먹의 1·2지를 펴서 끝이 콧구멍으로 향하게 하여 두 번 밀어 올린 다음, 두 주먹을 양쪽 가슴 앞에 모로 세워 약간 내리고, 오른손을 펴서 손바닥이 위로 손끝이 밖으로 향하게 하여 밖으로 내민 다음, 두 손의 손끝을 마주 댔다가 안으로 큰 원을 그리며 돌려 두 손목을 맞댄다.",방생회,,전문용어 수어 > 불교
3134,16268,"오른 주먹의 1·5지를 펴서 1지 끝이 왼쪽으로 향하고 손등이 밖으로 향하게 하여 왼쪽에서 오른쪽으로 이동하고, 오른 주먹의 1지를 펴서 바닥을 이마 중앙에 댔다가 내리며 1지를 접고 5지를 펴서 왼 손바닥에 세운 다음, 손끝이 옆으로 손바닥이 안으로 향하게 두 손을 앞뒤로 놓았다가 손끝이 밖으로 향하게 돌린다.","방장,조실",크다(매우)+스님+방,전문용어 수어 > 불교
3135,16271,오른 주먹을 왼쪽 어깨 앞에서 오른쪽으로 내리며 손가락을 펴서 바닥이 아래로 향하게 한다.,방하,,전문용어 수어 > 불교
3136,16273,"오른 손의 1·2·5지 끝을 붙여 끝이 밖으로 향하게 한 다음, 손끝이 오른쪽으로 향하게 모로 세운 왼손의 1·5지 중간에 오른손을 4지 옆면이 닿게 세워 댄다.",백중,,전문용어 수어 > 불교
3137,16274,"오른 주먹의 1지를 펴서 끝으로 모로 세운 왼 손바닥을 스쳐 올린 다음, 오른손을, 4지를 접고 나머지 손가락을 벌려 손등이 밖으로 향하게 비스듬히 세우고, 오른 주먹의 1지를 펴서 오른쪽 관자놀이에 대고 좌우로 약간 돌리고, 약간 구부린 두 손의 손끝으로 머리 양쪽을 두 번 두드린다.",백팔번뇌,백팔(百八)+번뇌,전문용어 수어 > 불교
3138,16277,"오른 주먹의 1지를 펴서 끝으로 치아를 가리킨 다음, 오른 주먹의 1지를 펴서 바닥을 이마 중앙에 대고, 오른 주먹의 등을 이마에 댔다가 앞으로 약간 내밀며 손을 편다.",백호방광,백호+빛,전문용어 수어 > 불교
3139,16278,"왼 주먹의 1지를 펴서 세워 끝을, 손가락을 벌려 편 오른손의 손목 밑에 대고 오른손을 좌우로 약간 흔든다.",번,,전문용어 수어 > 불교
3140,16279,"오른 주먹의 1지를 펴서 오른쪽 관자놀이에 대고 좌우로 약간 돌리고, 약간 구부린 두 손의 손끝으로 머리 양쪽을 두 번 두드린다.",번뇌,생각+고난,전문용어 수어 > 불교
3141,16280,"두 주먹의 1·5지를 펴서 약간 구부려 끝이 밖으로 향하게 하여 맞댔다가 양옆으로 벌린 다음, 두 주먹의 4·5지를 펴서 끝이 위로 향하게 맞대고 세워 양옆으로 두 번 약간 돌리며 벌린다.","범부,서민",일반+사람,전문용어 수어 > 불교
3142,16282,"두 주먹을 모로 세워 동시에 오른쪽으로 올렸다가 왼쪽으로 내린 다음, 오른손을 손가락이 아래로 향하게 반쯤 구부려 오른쪽 귀 옆에서 좌우로 흔든다.",범종,,전문용어 수어 > 불교
3143,16284,바닥이 아래로 향한 왼 주먹 밑으로 바닥이 왼쪽으로 향한 오른 주먹을 두 번 움직인다.,"법고,북",북을 치는 것을 나타낸 동작,전문용어 수어 > 불교
3144,16286,"가볍게 쥔 왼 주먹을 모로 세우고 오른 주먹의 1지를 펴서 바닥으로 왼 주먹의 손가락을 두 번 두드린 다음, 두 주먹의 1지를 펴서 좌우로 비스듬히 마주 보게 세워 내리며 구부리고, 손끝이 밖으로 향하게 펴서 모로 세운 왼 손바닥을 오른손의 5지 바닥으로 두 번 스쳐 낸다.",법구,,전문용어 수어 > 불교
3145,16287,"5지를 펴서 세운 오른손으로 왼 주먹의 1지를 잡고 왼쪽으로 돌린 다음, 손끝이 옆으로 손바닥이 안으로 향하게 두 손을 앞뒤로 놓았다가 손끝이 밖으로 향하게 돌린다.",법당,,전문용어 수어 > 불교
3146,16289,"1·2지를 펴서 구부려 모로 세운 오른 주먹으로 손바닥이 위로 향하게 편 왼 손바닥을 두 번 두드린 다음, 오른 주먹의 1·5지를 펴서 끝이 왼쪽으로 향하게 하여 왼쪽 가슴에 1·5지 옆면이 닿게 댄다.",법명,법+이름,전문용어 수어 > 불교
3147,16292,"1·2지를 펴서 구부려 모로 세운 오른 주먹으로 손바닥이 위로 향하게 편 왼 손바닥을 두 번 두드린 다음, 손등이 위로 향하게 편 왼손의 손가락 등에 오른손의 손등을 대고 손끝을 두 번 오므렸다 편다.",법보,,전문용어 수어 > 불교
3148,16293,"1·2지를 펴서 구부려 모로 세운 오른 주먹으로 손바닥이 위로 향하게 편 왼 손바닥을 두 번 두드린 다음, 손등이 위로 향하게 편 왼손의 손가락 등에 오른손의 손등을 대고 손끝을 두 번 오므렸다 펴고, 가볍게 쥔 왼 주먹을 모로 세우고 오른 주먹의 1지를 펴서 바닥으로 왼 주먹의 손가락을 두 번 두드린 다음, 두 주먹의 1지를 펴서 좌우로 비스듬히 마주 보게 세워 내리며 구부린다.",법보사찰,,전문용어 수어 > 불교
3149,16294,"오른 주먹의 1지를 펴서 바닥을 이마 중앙에 댔다가 내리며 1지를 접고 5지를 펴서 왼 손바닥에 세운 다음, 오른 주먹의 1·5지를 펴서 끝으로 오른쪽 가슴 앞의 옷을 살짝 잡아 흔든다.",법복,스님+옷,전문용어 수어 > 불교
3150,16296,"1·2지를 펴서 구부려 모로 세운 오른 주먹으로 손바닥이 위로 향하게 편 왼 손바닥을 두 번 두드린 다음, 손등이 밖으로 손끝이 위로 향하게 하여 약간 구부려 벌린 왼 손등에 같은 모양의 오른 손바닥을 댔다가 밖으로 내민다.","법요,법회",법+대회¹②,전문용어 수어 > 불교
3151,16298,"1·2지를 펴서 구부려 모로 세운 오른 주먹으로 손바닥이 위로 향하게 편 왼 손바닥을 두 번 두드리고, 오른 주먹의 1·5지를 펴서 구부려 입으로 약간 기울여 올린 다음, 두 손을 펴서 손끝이 아래로 손등이 밖으로 향하게 하여 아래로 두 번 내린다.",법우,,전문용어 수어 > 불교
3152,16299,"1·2지를 펴서 구부려 모로 세운 오른 주먹으로 손바닥이 위로 향하게 편 왼 손바닥을 두 번 두드린 다음, 오른손의 1·5지 끝을 맞대어 목에서 입으로 올려 내민다.",법음,,전문용어 수어 > 불교
3153,16301,"1·2지를 펴서 구부려 모로 세운 오른 주먹으로 손바닥이 위로 향하게 편 왼 손바닥을 두 번 두드린 다음, 오른 주먹의 1·2지를 펴서 2지 옆면으로 모로 세운 왼 주먹의 손목을 두 번 두드린다.","법장,법사",법+스승,전문용어 수어 > 불교
3154,16302,"오른 주먹의 1지를 펴서 바닥을 이마 중앙에 댔다가 내리며 1지를 접고 5지를 펴서 왼 손바닥에 세우고, 두 주먹의 1·5지를 펴서 1지를 상하로 엇갈리게 두 번 부딪친 다음, 모로 세운 오른 주먹을 상하로 약간 움직인다.",법장,법+지팡이,전문용어 수어 > 불교
3155,16305,"1·2지를 펴서 구부려 모로 세운 오른 주먹으로 손바닥이 위로 향하게 편 왼 손바닥을 두 번 두드린 다음, 손등이 밖으로 손끝이 위로 향하게 하여 약간 구부려 벌린 왼 손등에 같은 모양의 오른 손바닥을 댔다가 밖으로 내민다.","법회,법요",법+대회¹②,전문용어 수어 > 불교
3156,16306,"5지를 펴서 세운 오른손으로 왼 주먹의 1지를 잡고 왼쪽으로 돌린 다음, 4·5지를 펴서 세운 두 손을 마주 댔다가 오른손만 약간 흔들면서 아래로 내리고, 오른 손가락 등으로 손바닥이 안으로 향하게 편 왼 손바닥을 오른쪽으로 두 번 스쳐 낸다.",변상도,,전문용어 수어 > 불교
3157,16311,5지를 펴서 세운 왼 주먹을 오므린 오른 손등에 올려놓고 위로 올리면서 오른손의 손가락을 구부려 편다.,보리살타,,전문용어 수어 > 불교
3158,16313,"두 손을 손바닥이 위로 향하게 약간 구부려 밖으로 내밀면서 손바닥이 위로 향하게 양옆으로 벌린 다음, 오른 주먹의 1지를 펴서 끝을, 손등이 밖으로 손끝이 오른쪽으로 향하게 편 왼 손등에 댔다가 왼 손바닥에 댄다.",보리심,,전문용어 수어 > 불교
3159,16315,"5지를 펴서 세운 왼 주먹을 오므린 오른 손등에 올려놓고 위로 올리면서 오른손의 손가락을 구부려 편 다음, 오른 주먹의 1지를 펴서 손가락 끝을 왼팔에 댄다.",보살계,,전문용어 수어 > 불교
3160,16317,"5지를 펴서 세운 왼 주먹을 오므린 오른 손등에 올려놓고 위로 올리면서 오른손의 손가락을 구부려 편 다음, 손등이 위로 향하게 쥔 두 주먹을 양쪽 가슴 앞에서 마주 보게 하여 상하로 엇갈리게 흔든다.",보살행,,전문용어 수어 > 불교
3161,16319,"두 손을 손바닥이 위로 향하게 약간 구부려 밖으로 내밀면서 손바닥이 위로 향하게 양옆으로 벌리고, 오른손을 구부려 손끝으로, 손등이 위로 향하게 편 왼 손등을 두 번 두드린 다음, 1·2지를 펴서 구부려 세운 두 주먹의 4지 옆면을 두 번 맞부딪친다.",보시바라밀,보시+바라밀,전문용어 수어 > 불교
3162,16322,"5지를 접고 나머지 손가락을 편 오른손의 1지 옆면을 턱 중앙에 댄 다음, 두 주먹의 1지를 펴서 구부려 끝이 아래로 향하게 하여 번갈아 밖으로 내밀고, 5지를 펴서 세운 왼 주먹을 오므린 오른 손등에 올려놓고 위로 올리면서 오른손의 손가락을 구부려 편다.",보현보살,실천+보살,전문용어 수어 > 불교
3163,16323,"5지를 접고 나머지 손가락을 편 오른손의 1지 옆면을 턱 중앙에 댄 다음, 두 주먹의 1지를 펴서 구부려 끝이 아래로 향하게 하여 번갈아 밖으로 내밀고, 손등이 위로 향하게 쥔 두 주먹을 전후로 엇갈리게 움직인다.",보현행,,전문용어 수어 > 불교
3164,16326,"오른손의 1·2·3·4지 바닥은 왼쪽 볼에 5지 바닥은 오른쪽 볼에 댔다가 내리며 손가락을 모아 붙인 다음, 손등이 위로 향하게 편 왼 주먹의 1·2·3지 등에, 오른 주먹의 1·2·3지를 펴서 바닥을 ‘+’자로 댄다.",복전,,전문용어 수어 > 불교
3165,16327,"오른손의 1·2·3·4지 바닥은 왼쪽 볼에 5지 바닥은 오른쪽 볼에 댔다가 내리며 손가락을 모아 붙인 다음, 손등이 위로 향하게 편 왼 주먹의 1·2·3지 등에, 오른 주먹의 1·2·3지를 펴서 바닥을 ‘+’자로 대고, 손끝이 밖으로 향하게 편 두 손으로 네모를 그린다.",복전함,,전문용어 수어 > 불교
3166,16329,"손등이 밖으로 향하게 주먹을 쥐고 세운 왼팔의 팔꿈치 밑에 오른 주먹의 등을 대고 손가락을 편 다음, 손끝이 오른쪽으로 향하게 모로 세운 왼 손바닥 안에서 손끝이 왼 손바닥으로 향하게 모로 세운 오른손을 좌우로 움직인다.",본래공,,전문용어 수어 > 불교
3167,16331,"두 손을, 손끝이 밖으로 손등이 옆으로 향하게 맞댔다가 오른손만 위로 올리며 주먹을 쥐고 5지를 편 다음, 두 주먹의 1지를 펴서 좌우로 비스듬히 마주 보게 세워 내리며 구부린다.","본사,큰절",본부+궁,전문용어 수어 > 불교
3168,16335,"왼손을 손등이 아래로 향하게 구부려 배꼽 아래쪽에 대고, 그 오른쪽에서 오른손을 자연스럽게 펴서 손가락 끝이 아래로 향하게 한다.",본존불,,전문용어 수어 > 불교
3169,16338,"손바닥이 왼쪽으로 향하게 펴서 세운 오른 팔꿈치를 왼 손바닥으로 받치고 전후로 두 번 흔든 다음, 오른손의 4지 옆면을 왼쪽 어깨 앞에 댔다가 배 오른쪽으로 스쳐 내린다.",부루나,,전문용어 수어 > 불교
3170,16340,"두 주먹의 1지를 펴서 좌우로 비스듬히 마주 보게 세워 내리며 구부리고, 오른 주먹 1·2지를 펴서 약간 구부려 끝이 두 눈으로 향하게 하여 왼쪽으로 돌린 다음, 두 주먹의 1지를 펴서 끝이 밖으로 향하게 하여 좌우로 엇갈리게 움직이고, 오른 주먹의 1지를 펴서 바닥을 이마 중앙에 댔다가 내리며 1지를 접고 5지를 펴서 왼 손바닥에 세운다.",부전,,전문용어 수어 > 불교
3171,16343,"5지를 펴서 세운 오른손으로 왼 주먹의 1지를 잡고 왼쪽으로 돌린 다음, 5지를 펴서 세운 오른 주먹을 왼 손바닥에 올려놓는다.",부처님,부처+님,전문용어 수어 > 불교
3172,16344,"두 주먹을 가슴 앞으로 올려 떠는 동작을 한 다음, 손바닥이 아래로 향하게 반쯤 구부린 오른손을 가슴 앞에서 약간 내리다가 멈추고, 5지를 펴서 세운 오른손으로 왼 주먹의 1지를 잡고 왼쪽으로 돌린 다음, 손끝이 밖으로 향하게 모로 세운 왼 손바닥에 오른 주먹의 1지를 펴서 옆면을 댄다.",북방불교,,전문용어 수어 > 불교
3173,16346,"오른 손바닥으로 가슴과 배에 크게 원을 그린 다음, 왼 손등이 밖으로 향하게 하여 두 손바닥을 맞대고 세웠다가 180도 돌려 세운다.",분신,몸+변하다,전문용어 수어 > 불교
3174,16347,"오른 주먹의 1·5지 끝을 맞대고 그 끝으로 왼 주먹의 1·5지 끝을 쳐내는 동작을 한 다음, 왼 주먹의 1지를 펴서 손끝이 위를 향하게 하고, 오른손을 펴서 손바닥이 위로 향하게 하여 반쯤 구부려 왼 주먹의 1지 위에서 오른쪽으로 돌리며 위로 올린다.",분향,,전문용어 수어 > 불교
3175,16351,"두 주먹을 상하로 엇갈리게 스친 다음, 오른 주먹의 1지 옆면과 5지 바닥으로 오른쪽 볼을 잡는다.",불가설,설명+못하다,전문용어 수어 > 불교
3176,16354,"5지를 펴서 세운 오른손으로 왼 주먹의 1지를 잡고 왼쪽으로 돌린 다음, 손끝이 밖으로 향하게 모로 세운 왼 손바닥에 오른 주먹의 1지를 펴서 옆면을 댄다.",불교,,전문용어 수어 > 불교
3177,16355,"5지를 펴서 세운 오른손으로 왼 주먹의 1지를 잡고 왼쪽으로 돌린 다음, 가슴 앞에서 모로 세운 왼손 위에 모로 세운 오른손 올려놓고 5·1·2·3·4지 순으로 손가락을 접는다.",불기,,전문용어 수어 > 불교
3178,16356,"왼손을 펴서 손등이 위로 손끝이 오른쪽으로 향하게 하고, 그 밑에서 손바닥이 위로 향하게 펴서 구부린 오른손을 안으로 당긴 다음, 두 주먹의 1·5지를 펴서 약간 구부려 옆면을 입 양옆에 댔다가 동시에 밖으로 내밀며 좌우로 약간 벌리고, 손가락을 모아 붙인 두 손의 손끝을 두 번 마주 댄다.",불기,,전문용어 수어 > 불교
3179,16360,"가볍게 쥔 왼 주먹을 모로 세우고 오른 주먹의 1지를 펴서 바닥으로 왼 주먹의 손가락을 두 번 두드린 다음, 두 주먹의 1지를 펴서 좌우로 비스듬히 마주 보게 세워 내리며 구부린다.",불도량,,전문용어 수어 > 불교
3180,16362,"두 주먹의 1·5지를 펴서 1지를 상하로 엇갈리게 두 번 부딪친 다음, 두 손을 구부려 왼손은 손바닥이 위로 향하게 하고 오른손은 손바닥이 아래로 향하게 하여 왼손 위쪽 뒤에 놓이게 하여 밖으로 내밀고, 두 손을 손등이 밖으로 손끝이 위로 향하게 세워 손가락을 가볍게 흔들면서 상하로 엇갈리게 움직인 다음, 두 주먹의 4·5지를 펴서 끝이 위로 향하게 맞대고 세워 양옆으로 두 번 약간 돌리며 벌린다.",불목지기,,전문용어 수어 > 불교
3181,16363,"5지를 펴서 세운 오른손으로 왼 주먹의 1지를 잡고 왼쪽으로 돌린 다음, 1·2지를 펴서 구부려 모로 세운 오른 주먹으로 손바닥이 위로 향하게 편 왼 손바닥을 두 번 두드린다.","불법,경,불경",부처+법,전문용어 수어 > 불교
3182,17977,"비스듬히 세운 왼손 밑에 오른손으로 ‘ム’ 모양을 그리고, 두 주먹의 1·5지를 펴서 약간 구부려 입 가까이 댔다가 밖으로 내밀며 좌우로 약간 벌린 다음, 손등이 밖으로 향하게 세운 왼 손바닥에 오른 주먹의 1지를 펴서 끝을 대고 왼 손목을 돌려 손바닥이 밖으로 향하게 한다.",칙서,,전문용어 수어 > 천주교
3183,17980,"왼 주먹의 1·2·5지를 펴서 벌려 등이 밖으로 향하게 모로 세우고, 그 안쪽에서 오른손으로 ‘+’자 모양을 그린다.",칠성사,,전문용어 수어 > 천주교
3184,17981,"왼 주먹의 1‧2‧5지를 펴서 구부려 손등이 밖으로 향하게 비스듬히 세우고 그 오른쪽 밑에서 오른 주먹의 4‧5지를 펴서 세워 손목을 좌우로 2회 약간 돌린 다음, 오른 주먹의 1·5지 끝을 맞대어 끝으로 왼 손바닥을 두 번 그어 내리고, 오른 주먹의 1‧2지를 펴서 벌려 오른쪽으로 젖힌다.",칠십인역,지숫자 '70'/사람+기록+번역함을 나타내는 동작,전문용어 수어 > 천주교
3185,17984,"오른 주먹의 5지를 펴서 5지 등을 이마에 댄 다음, 오른 주먹의 2지를 펴서 끝을, 손바닥이 위로 향하게 편 왼손의 5지 바닥에 댄다.",카인,,전문용어 수어 > 천주교
3186,17985,"오른 주먹의 5지를 펴서 반쯤 구부려 끝 바닥을 턱 중앙에 댄 다음, 손등이 위로 손끝이 오른쪽으로 향하게 편 왼 손바닥 밑으로, 손등이 위로 손끝이 밖으로 향하게 편 오른손을 내밀고, 왼 주먹의 5지를 펴서 등이 아래로 향하게 하고 그 위에 오른손으로 반원을 그린다.",카타콤바,로마+지하②+무덤,전문용어 수어 > 천주교
3187,17986,"오른 주먹의 1지를 반쯤 굽히고 2·5지를 펴서 등이 밖으로, 2지 끝이 아래로 향하게 하여 왼쪽에서 오른쪽으로 이동한 다음, 두 손을 약간 구부려 손끝을 양 어깨에 댔다가 손끝이 밖으로 향하게 돌려 상하로 흔든다.",케루빔,,전문용어 수어 > 천주교
3188,17988,"오른 주먹의 1지를 반쯤 굽히고 2·5지를 펴서 등이 밖으로, 끝이 아래로 향하게 세운 다음, 2‧5지를 접고 1지를 펴서 끝이 위로 등이 밖으로 향하게 세우고, 오른 주먹의 1·2지를 펴서 약간 내리며 왼 주먹의 1‧5지 끝에 댄 다음, 오른 주먹의 1‧2지를 펴서 끝 바닥을 입에 댔다가 왼 손바닥에 내려 댄다.",코린토인에게 보낸 둘째 편지,지문자'코'+둘째+편지,전문용어 수어 > 천주교
3189,17990,두 손을 맞잡고 오른쪽으로 한 바퀴 돌린다.,"코이노니아,친교",,전문용어 수어 > 천주교
3190,17991,"오른 주먹의 1·2·3지를 펴서 바닥이 안으로 끝이 왼쪽으로 향하게 하여 머리 위에서 수평으로 한 바퀴 돌린 다음, 손끝이 오른쪽으로 향하게 모로 세운 왼손의 1·5지 사이로 손가락이 아래로 손등이 밖으로 향한 오른손을 넣는다.","콘클라베,교황선거",교황+투표,전문용어 수어 > 천주교
3191,17992,"오른 주먹의 5지를 펴서 반쯤 구부려 끝 바닥을 턱 중앙에 댄 다음, 두 손의 손끝이 위로 손등이 밖으로 향하게 4지 옆면을 댔다가 안으로 둥글게 돌린다.",콜로세움,로마+원형경기장의 모습을 나타내는 동작,전문용어 수어 > 천주교
3192,17994,"오른 손바닥을 왼뺨에 댄 다음, 두 손을 손등이 밖으로 향하게 펴서 5지를 서로 걸고 1‧2‧3‧4지를 전후로 두 번 움직이고, 오른 손끝을 코 오른쪽에 댔다가 떼면서 5지로 나머지 손가락을 4지부터 차례로 비빈다.",크리스마,②견진+기름²,전문용어 수어 > 천주교
3193,17995,"손등이 밖으로 향하게 쥔 오른 주먹의 1·2·3지를 펴서 끝이 왼쪽으로 향하게 하여 2·3지는 붙이고 1지는 떼고 왼쪽에서 오른쪽으로 이동한 다음, 오른손의 1·5지 끝을 맞대어 동그라미를 만들어 좌우로 가볍게 두 번 흔든다.",탈란트,지문자 'ㅌ'/꽤+돈,전문용어 수어 > 천주교
3194,17998,"왼 주먹의 5지를 펴서 세우고, 그 위에서 손바닥이 위로 향하게 반쯤 구부린 오른손을 오른쪽 위로 올린다.",탈혼,혼이 육신을 떠남을 나타내는 동작,전문용어 수어 > 천주교
3195,18000,"반쯤 구부린 두 손을 배 앞에서 손가락 부분만 겹쳐 포갰다가 동시에 밖으로 내민 다음, 손끝이 오른쪽으로 향하게 펴서 모로 세운 왼손의 안쪽을 오른 주먹의 1지를 펴서 끝으로 콕 찍는다.",태중,,전문용어 수어 > 천주교
3196,18001,"오른 주먹의 1지를 펴서 왼쪽 어깨 앞에 댄 다음, 손바닥이 아래로 손끝이 밖으로 향하게 편 오른손을 위로 올리며 2지와 5지 끝을 맞댄다.",태초,제일+먼저,전문용어 수어 > 천주교
3197,18002,"오른 주먹의 1·2지를 펴서 등으로 왼뺨을 스치며 오르내린 다음, 오른 주먹의 5지를 펴서 바닥이 밖으로 향하게 세운다.",토마스,,전문용어 수어 > 천주교
3198,18003,"두 손 각각 턱 가까이에서 손끝을 맞대고 비빈 다음, 오른 주먹의 1·5지 끝을 맞대어 왼 손목 등에서 팔꿈치 쪽으로 빠르게 올렸다 내리고, 두 주먹의 5지를 펴서 세워 가슴 앞에서 맞대어 올린다.",토요특전미사,토요일+특별+미사,전문용어 수어 > 천주교
